,time,year,month,mom6m,mom12m,chmom,mom126m,bmom1m
259,259,2001,8,0.0757630236,0.06002948280000001,0.0525165911,0.023246432500000004,0
260,260,2001,9,0.0746029995,0.1143240903,-0.021758162,0.0963611615,0
261,261,2001,10,-0.08461660900000001,-0.092445578,-0.020614097,-0.06400251200000001,1
262,262,2001,11,-0.090228471,-0.08031101,-0.017227377,-0.073001094,0
263,263,2001,12,-0.039367981,-0.022740502000000003,-0.009824192,-0.029543789,1
264,264,2002,1,0.0152222551,0.0178772429,-0.013986951,0.0292092061,1
265,265,2002,2,0.0371778253,0.1024858036,-0.036035899,0.0732137243,0
266,266,2002,3,-0.026205475,-0.033227897,-0.006042321,-0.020163154,1
267,267,2002,4,0.0164381371,0.0593680073,-0.018417568,0.034855705099999995,1
268,268,2002,5,0.0391724542,0.0769698453,0.0094907854,0.029681668799999998,0
269,269,2002,6,0.1069063056,0.1214454041,0.0421158765,0.06479042909999999,0
270,270,2002,7,0.0261824379,0.0320311733,-0.006706849,0.0328892869,1
271,271,2002,8,-0.007306622,-0.001816823,-0.03108783,0.023781208,1
272,272,2002,9,0.1039302112,0.1082405117,0.036205286,0.0677249252,1
273,273,2002,10,-0.094794382,-0.036751906,-0.103994038,0.009199656,1
274,274,2002,11,-0.311542238,-0.276541241,-0.071369819,-0.24017241900000003,1
275,275,2002,12,0.1210996005,0.1391188937,-0.068249872,0.1893494725,1
276,276,2003,1,0.007091095400000001,-0.011675746,0.0275955056,-0.0205044102,1
277,277,2003,2,0.0343224247,0.0348762681,0.0145957341,0.0197266906,0
278,278,2003,3,0.0079396786,0.006342510500000001,0.0221422915,-0.014202612900000001,1
279,279,2003,4,-0.036602807,-0.105789113,0.0388516117,-0.0754544187,1
280,280,2003,5,-0.109389776,-0.252307924,0.1134090601,-0.2227988361,0
281,281,2003,6,-0.028608041,-0.069932368,0.0201251843,-0.0487332253,0
282,282,2003,7,0.0307643859,0.0210195796,0.0144496807,0.0163147052,1
283,283,2003,8,-0.007379366,0.0038690622,0.001813215,-0.009192581,1
284,284,2003,9,-0.003647721,-0.044900546,0.0112065792,-0.0148543002,1
285,285,2003,10,0.0574661393,0.0452950722,0.0347413577,0.0227247816,0
286,286,2003,11,0.0249161208,0.0281152907,0.02380737,0.001108750799999999,0
287,287,2003,12,-0.046736415,-0.040345357000000005,-0.03490709,-0.011829325000000002,1
288,288,2004,1,-0.008736244,0.0032766945000000003,-0.035409861,0.026673617,1
289,289,2004,2,0.021604342,-0.009880647,0.0228067695,-0.0012024275000000022,1
290,290,2004,3,0.0064327507,-0.008856095,0.0249319288,-0.0184991781,0
291,291,2004,4,-0.019620109,-0.051357439000000005,0.0218102395,-0.0414303485,0
292,292,2004,5,0.0196608042,0.0391349554,-0.002410231,0.0220710352,1
293,293,2004,6,0.014692988999999997,0.0114666393,0.0079253701,0.006767618899999996,1
294,294,2004,7,0.0451088345,0.0043994142,0.0483425954,-0.0032337609000000003,0
295,295,2004,8,-0.002492887,-0.003390671,0.005573981800000001,-0.008066868800000002,0
296,296,2004,9,0.0304526234,0.0428652441,0.001074345,0.0293782784,1
297,297,2004,10,-0.001623672,-0.010130206,0.01255027,-0.014173942,1
298,298,2004,11,-0.031939671,-0.030275718,-0.029338593,-0.002601078000000003,1
299,299,2004,12,-0.059015655,-0.043114456,-0.028425302000000006,-0.030590352999999994,1
300,300,2005,1,0.0456729806,0.0518296468,-0.006363384000000001,0.0520363646,1
301,301,2005,2,0.0218437792,0.0601357616,-0.012089305,0.0339330842,0
302,302,2005,3,0.0155884111,0.027519914500000003,0.0009845397,0.0146038714,0
303,303,2005,4,-0.005824932,0.0152921386,-0.014554497,0.008729565,0
304,304,2005,5,0.015929661,0.0193270312,-0.009859239,0.025788900000000003,1
305,305,2005,6,0.0083750864,0.0131057136,-0.005377205,0.013752291400000002,1
306,306,2005,7,-0.001330037,-0.0008622769999999999,-0.006406485999999999,0.005076448999999999,1
307,307,2005,8,0.0304466209,0.0294919419,0.013335937,0.0171106839,0
308,308,2005,9,0.0247921757,0.0268153762,0.016475648500000002,0.008316527199999996,0
309,309,2005,10,0.0058515578000000006,0.0064211599,0.0007335132,0.005118044600000001,0
310,310,2005,11,0.0102163325,0.0162227045,0.0001016164,0.010114716099999999,1
311,311,2005,12,0.0108303223,-0.002402528,0.0030438761,0.0077864462,0
312,312,2006,1,0.032063723100000004,0.0243442924,0.0407417075,-0.008677984399999998,1
313,313,2006,2,-0.0063699640000000005,-0.019449135,0.008881556,-0.015251520000000001,1
314,314,2006,3,0.0277578929,0.0166333242,0.011863654,0.015894238900000003,0
315,315,2006,4,-0.001040895,0.0038088371,0.0146849417,-0.015725836700000002,0
316,316,2006,5,-0.025258584,-0.025447685,-0.003066383,-0.022192201,0
317,317,2006,6,0.0167391955,0.0106523041,0.0159089524,0.0008302431000000027,0
318,318,2006,7,0.0032163881,0.0032338722,0.0056173084,-0.0024009202999999996,1
319,319,2006,8,-0.026787855,-0.024453328,-0.011876525,-0.014911329999999999,1
320,320,2006,9,0.0031111659,0.0108859544,-0.004362211,0.0074733769,1
321,321,2006,10,-0.035004991,-0.003645947,-0.039808635,0.004803644000000003,1
322,322,2006,11,-0.013699258999999998,-0.006806589,-0.007319546999999998,-0.006379712,0
323,323,2006,12,0.0041041057,0.0183983282,-0.01469911,0.0188032157,1
324,324,2007,1,0.015905999599999998,0.0076089531,0.0105945002,0.0053114993999999974,1
325,325,2007,2,-0.012587003,-0.010341523,-0.01256022,-2.6782999999998974e-05,1
326,326,2007,3,0.024789816800000003,0.0458181261,0.00932601,0.015463806800000004,0
327,327,2007,4,0.0241585408,0.0064060983,0.0262054533,-0.002046912500000001,0
328,328,2007,5,0.005660998100000001,0.0060825039,0.0091123585,-0.0034513604,0
329,329,2007,6,0.0074529339,0.0020933408,0.008409924899999999,-0.000956990999999999,0
330,330,2007,7,0.022598372400000004,0.0072468672,0.0264832572,-0.003884884799999995,0
331,331,2007,8,0.0218886906,0.034437898,-0.0016300370000000002,0.0235187276,1
332,332,2007,9,0.0416735038,0.0554727865,0.0227049816,0.018968522199999997,0
333,333,2007,10,0.0618776649,0.0638628579,0.0395748517,0.0223028132,0
334,334,2007,11,0.0708521288,0.0630849039,0.0534253618,0.017426766999999996,0
335,335,2007,12,0.0492789187,0.06283611110000001,0.0048874811,0.0443914376,0
336,336,2008,1,-0.092012408,-0.111815706,-0.026330782,-0.065681626,1
